X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.530216800338899,44.666174201490023,426446,BS1334,8851,Yes,Baker Dr After Coldstream Run (8851),Accessible,CPD1505,700000555,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.621132200040066,44.629881300862699,426447,BS960,8168,Yes,Ridgevalley Rd Before Bromley Rd (8168),Accessible,CPD1187,300002340,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.575717216877862,44.650308504164094,426448,BS2659,6108,Yes,Barrington St At Scotia Square Bay 3 (6108),Accessible,CPD2471,300001319,Terminal,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.540268700433174,44.681766600830763,426449,BS586,7173,Yes,Main St After Gordon Ave (7173),Accessible,CPD980,700004604,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.532866100096726,44.67790950096596,426450,BS1213,7039,Yes,Valleyfield Rd Before Virginia Ave (7039),Non-Standard,CPD1297,200000091,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.492927700555747,44.695425401135701,426451,BS983,7012,Yes,Karen Dr After Hillsboro Dr (7012),Inaccessible,CPD1207,200002374,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.564915799341449,44.699229101119826,426452,BS1815,8656,Yes,Gale Terr After Commodore Dr (8656),Accessible,CPD1884,700004341,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.624135500698529,44.649408701605182,426453,BS91,7277,Yes,Mumford Rd After Olivet St (7277),Accessible,CPD2,300001380,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.638297199505857,44.661239201282505,426454,BS1733,7083,Yes,Lacewood Dr Before Glenforest Dr (7083),Accessible,CPD1821,300000564,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.586161933177898,44.677742138387494,426455,BS722,6019,Yes,Albro Lake Rd After Richmond St (6019),Accessible,CPD1045,200000424,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.453575799385661,44.684728101386568,426456,BS124,8937,Yes,Ross Rd After Greenvale Cr (8937),Non-Standard,CPD524,200000044,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.635108200908483,44.65419410115593,426457,BS1651,8242,Yes,Rosedale Ave At Civic 34 (8242),Non-Standard,CPD1912,300001017,Conventional Transit Bus Stop,08/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.546132800199963,44.691407101237893,426458,BS2107,8466,Yes,Waverley Rd After Creelman Dr (8466),Non-Standard,CPD2277,200001627,Conventional Transit Bus Stop,30/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.514773400555541,44.677434500780393,426459,BS2167,6576,Yes,Dorothea Dr Opposite Regal Rd (6576),Non-Standard,CPD2168,200001046,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.545015599617088,44.680493800811846,426460,BS2232,6832,Yes,Harris Rd Before Curley Dr (6832),Inaccessible,CPD2220,200002247,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.596792699556424,44.638046300695621,426461,BS856,7401,Yes,Oxford St After Coburg Rd (7401),Accessible,CPD1103,300002055,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.664827200487316,44.673317901286865,426462,BS1794,6645,Yes,Farnham Gate Rd After Dunbrack St (6645),Accessible,CPD1865,300000156,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.631988399537455,44.660560701472811,426463,BS1454,7163,Yes,Main Ave After Ford St (7163),Non-Standard,CPD1760,300003350,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.616892799584321,44.646276600480583,426464,BS88,7274,Yes,Mumford Rd Before Leppert St (7274),Accessible,CPD492,700005131,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.62385390041652,44.630814300706355,426465,BS397,7252,Yes,Mountain Rd Before Sunset Ave (7252),Accessible,CPD915,300002326,Conventional Transit Bus Stop,06/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.556775299474424,44.666729601077677,426466,BS2303,7493,Yes,Pleasant St Before Linden Lea (7493),Accessible,CPD2351,200000766,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.480090700585521,44.666153201647845,426467,BS1577,6469,Yes,Colby Dr Before Boling Green Cr (6469),Accessible,CPD1744,200003067,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.704148100796928,44.781663700711405,426468,BS138,7298,Yes,Sackville Dr After Jubilee Ln (7298),Non-Standard,CPD538,100000593,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.529258800088982,44.65556140085117,426469,BS1330,8847,Yes,Baker Dr Before Basswood Run (8847),Accessible,CPD1501,700006969,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.660973700107959,44.699809000790786,426470,BS756,6220,Yes,Bedford Hwy After Larry Uteck Blvd (6220),Non-Standard,CPD941,300003590,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.583758699942713,44.634469701007113,426471,BS786,6202,Yes,Robie St Before Oakland Rd (6202),Accessible,CPD957,700004877,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.66203250031591,44.756247701029771,426472,BS2075,6435,Yes,Cobequid Rd After Hillside Ave (6435),Accessible,CPD2010,100002560,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.577248399771229,44.634082700580777,426473,BS832,6970,Yes,Inglis St Before Tower Rd (6970),Accessible,CPD1249,300002205,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.542450199811846,44.679007501166531,426474,BS789,6205,Yes,Beacon St Before Harris Rd (6205),Non-Standard,CPD959,200002254,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.495008299365089,44.685819301373805,426475,BS307,6792,Yes,Gregory Dr After Flying Cloud Dr (6792),Non-Standard,CPD42,200000036,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.590587099844484,44.68744930131669,426476,BS920,6926,Yes,Highfield Park Dr At Civic 68 (6926),Accessible,CPD160,200000665,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.507811599935756,44.62153790108421,426477,BS2421,7461,Yes,Main Rd Before Morris Ave (7461),Accessible,CPD2398,200002979,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.597180100717665,44.592633601465515,426478,BS2252,6855,Yes,Herring Cove Rd Before Princeton Ave (6855),Inaccessible,CPD2240,300002678,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.848753000489602,44.707437800996665,426479,BS1519,6815,Yes,Hammonds Plains Rd After Stillwater Lake Dr (6815),Non-Standard,CPD1693,600000090,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.541988300465803,44.726955401005981,426480,BS2204,8445,Yes,Waverley Rd Before Charles Keating Dr (8445),Non-Standard,CPD2193,200001646,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
